psmiles,Energy_Hatree,es,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV
*Nc1cc(C#N)c(NC(=O)CN(C)c2ccccc2C(*)=O)cc1C(=O)O,-1215.552125,0.9991912,257.45528,-8.2729,-0.5275,0.34498138,0.00094421,0.27021387,0.07571172,5.258563581,-1215.281912,-1215.2062,7.7454
*Nc1ccc(C(=O)O)c(S(=O)(=O)NC(=O)C(=O)CSc2ccc(C(*)=O)cc2)c1,-2088.794687,0.997851,276.48166,-8.9172,-0.1463,0.32367264,0.00094421,0.24229638,0.08232047,5.411825477,-2088.552391,-2088.47007,8.7709
*Nc1ccc(C(=O)O)cc1S(=O)(=O)NC(=O)c1cc(Cl)c(Cl)cc1C(*)=O,-2457.183825,0.9993575,259.12406,-9.2692,-0.7632,0.2643761,0.00094421,0.1888867,0.0764336,7.739743902,-2456.994939,-2456.918505,8.506
*Nc1ccc(C)c(C(=O)O)c1NC(=O)CC(CC)CC(*)=O,-994.1105384,0.99415165,206.74569,-8.2882,0.2531,0.3588913,0.00094421,0.28874046,0.07109506,2.597656311,-993.821798,-993.7507029,8.5413
*Nc1cc(F)c(S(=O)(=O)NC(=O)c2cnc(C(*)=O)cn2)cc1C(=O)O,-1669.353863,0.9992606,227.51459,-9.0831,-1.2975,0.24943929,0.00094421,0.17806032,0.07232318,5.165117408,-1669.175803,-1669.10348,7.7856
*Nc1ccc(C#N)c(C(=O)O)c1NC(=O)c1cc(Cl)cc(C(*)=O)c1,-1541.193704,0.9937405,245.10206,-8.7485,-0.7714,0.25942536,0.00094421,0.19048872,0.06988084,7.154082336,-1541.003215,-1540.933334,7.9771
*Nc1nc(NC(=O)CC(Br)C(*)=O)c(C(=O)O)nc1Br,-6015.832385,0.99240065,206.78996,-8.9529,-0.1751,0.19945035,0.00094421,0.13171434,0.06868022,2.885937688,-6015.700671,-6015.631991,8.7778
*Nc1ccc(S(=O)(=O)O)c(NC(=O)c2cc(OCc3ccncc3)cc(C(*)=O)c2)c1,-1786.26336,0.9987356,303.57352,-8.8349,-0.3528,1.50876572,0.00094421,0.29728112,0.08060559,6.002772574,-1785.966079,-1784.75365,8.4821
*Nc1cc(C)cc(C(=O)O)c1NC(=O)c1c(C)sc(C)c1C(*)=O,-1428.029889,0.99731135,248.36469,-8.1556,0.0814,1.28557679,0.00094421,0.2504356,0.0714305,2.88808343,-1427.779454,-1426.743368,8.237
*Nc1cc(C)cc(NC(=O)CC(NC(=O)CCC(=O)OC)C(*)=O)c1C(=O)O,-1351.468946,0.99793327,248.87923,-8.3555,0.0581,0.40793505,0.00094421,0.32750326,0.08137601,9.778132414,-1351.141442,-1351.060066,8.4136
*Nc1ccccc1CC(NC(=O)CN(C)C(=O)c1ccccc1C(*)=O)C(=O)O,-1315.264077,0.9991912,271.10576,-8.3084,-0.3133,0.4169676,0.00094421,0.33689637,0.08101544,3.692124929,-1314.92718,-1314.846165,7.9951
*Nc1cc(S(=O)(=O)O)c(NC(=O)C(C)(Cc2cccc(C)c2)C(*)=O)cc1S(=O)(=O)O,,0.94102055,,,,0.8107747600000001,0.00094421,0.3219672,0.08389645,4.486497228,0.3219672,0.81171897,
*Nc1cc(Cl)c(NC(=O)c2ccc(CSc3ccccc3C(*)=O)cc2)c(C(=O)O)c1,-2117.47409,0.99918,322.46495,-8.3945,-0.1116,0.37678923,0.00094421,0.29608182,0.08165161,6.173185723,-2117.178009,-2117.096357,8.2829
*Nc1ccc(C(=O)O)cc1S(=O)(=O)NC(=O)c1ccc(-c2ccc(C(*)=O)cc2)cc1,-1769.046745,0.99959,318.01059,-8.948,-0.7025,0.36649384,0.00094421,0.28671698,0.08072107,3.639551723,-1768.760028,-1768.679307,8.2455
*Nc1cc(Br)cc(C(=O)O)c1NC(=O)CN(CC(*)=O)N=Cc1cccc(C)c1,-3829.429884,0.98535615,296.99184,-8.417,0.1551,0.38870979,0.00094421,0.30708772,0.08256627,4.896540324,-3829.122796,-3829.04023,8.5721
*Nc1cc(Br)c(NC(=O)CN(CC(*)=O)c2ccc(Cl)cc2)c(C(=O)O)c1,-4156.295854,0.99971706,276.01313,-8.0206,-0.1334,0.32719122,0.00094421,0.24961436,0.07852107,6.368023679,-4156.04624,-4155.967719,7.8872
*Nc1cc(C#N)cc(NC(=O)CC(C(*)=O)c2ccc(Cl)cc2Br)c1C(=O)O,-4193.229351,0.99825555,267.94853,-8.9106,-0.7227,0.31014449,0.00094421,0.23357674,0.07751196,5.607574947,-4192.995775,-4192.918263,8.1879
*Nc1cccc(CC(=O)O)c1NC(=O)C(CC)C(CC)C(*)=O,-1033.416208,0.99174845,215.05406,-8.3706,0.1572,0.38906853,0.00094421,0.31654511,0.07346764,3.967712074,-1033.099663,-1033.026195,8.5278
*Nc1cc(OC)c(NC(=O)c2cc(C(*)=O)cc(-n3cncn3)c2)cc1C(=O)O,-1344.964893,0.9964412,287.64975,-7.9184,-0.4954,0.34595923,0.00094421,0.26903474,0.0778687,7.336969371,-1344.695858,-1344.617989,7.423
*Nc1cc(NC(=O)c2[nH]c(C(*)=O)c(C)c2C(C)=O)c(Cl)c(C(=O)O)c1,-1618.839107,0.99315614,257.52647,-8.5643,-0.3639,0.310968,0.00094421,0.2354797,0.07643251,2.492287504,-1618.603627,-1618.527195,8.2004
