smiles_list,density,Rg,Scaled Rg,Cp,Cv,bulk_modulus,isentropic_bulk_modulus,r2,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index
*N=P(*)(OCc1ccccc1)OCC(F)(F)C(F)(F)F,1.443868984,16.05746704,0.061833424,2315.285175,2182.510569,1858231050,1970867220,18.90320019,1.67153649,2.833652627,0.06372455,1.470413594
*N=P(*)(OCc1ccc(Br)cc1)Oc1ccc(Cl)cc1,1.517588226,16.45867186,0.058093711,1896.383104,1850.632423,2486732627,2548159340,13.2680181,1.279616006,2.771481627,0.04017543,1.578564418
*N=P(*)(OCCCc1ccccc1)Oc1ccc(Cl)cc1Cl,1.31428512,15.13311932,0.061698981,2410.068126,2329.334781,2760397262,2856026255,15.04629626,1.228519964,2.774518326,0.049640825,1.595618489
*N=P(*)(Oc1cccc(C)c1)Oc1ccc(Cl)cc1Cl,1.339537606,16.66509603,0.063670816,2275.183635,2115.92528,1620429627,1741871640,18.05420902,1.162624165,2.6358661,0.06116008,1.572654423
*N=P(*)(Oc1ccc(F)cc1)Oc1ccc(Cl)cc1Cl,1.383473256,17.01542759,0.060368557,1957.883721,1920.376473,1906803439,1944047438,17.47545617,1.089548093,2.536445931,0.075533911,1.564256321
*N=P(*)(Oc1cccc(C)c1)Oc1ccc2ccccc2c1,1.218489618,15.4902364,0.068972914,2620.755582,2577.781877,2689351963,2734212011,18.33817789,1.161689764,2.809007656,0.060788483,1.627058048
*N=P(*)(Oc1ccc(F)cc1)Oc1ccc2ccccc2c1,1.290917275,16.2625874,0.067595326,2558.419791,2491.723181,2694335314,2766439492,18.11960298,1.154353484,2.778906829,0.092909665,1.620047328
*N=P(*)(Oc1ccc(C(C)C)cc1)Oc1ccccc1Cl,1.215038856,15.74275691,0.068389157,3091.647164,2727.815629,1359877881,1541156355,18.21918821,1.17492106,2.577132288,0.108963009,1.549906845
*N=P(*)(Oc1ccc(F)cc1)Oc1ccc(C(C)C)cc1,1.216830629,14.0326581,0.062996411,2741.494688,2624.066229,2201664937,2300199950,10.78233676,1.137099988,2.568380191,0.079679811,1.559256298
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(C(C)C)cc1,1.141109739,14.70693382,0.069581021,3201.489306,2899.873237,1815106804,2003822142,16.53271166,1.172330355,2.630694118,0.039328228,1.567917014
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1Cl,1.422661574,15.97438501,0.05498958,1856.68953,1818.651935,2123381599,2167648459,10.1908353,1.099916784,2.579468044,0.045917334,1.574659093
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc(C)c(C)c1,1.2475204,14.96969603,0.062922107,2374.708995,2320.018572,2147073294,2197681885,11.65627367,1.124932831,2.604898829,0.066797573,1.574790779
*N=P(*)(Oc1ccccc1)Oc1cccc(C(F)(F)F)c1,1.359076939,16.82078178,0.066164218,2549.579564,2423.49654,1961797321,2063713862,17.46796909,1.2147748,2.536622207,0.02060969,1.523760941
*N=P(*)(OCCc1ccccc1)OCC(F)(F)C(F)(F)F,1.416121123,15.81923623,0.062544085,2314.133342,2211.663831,2553559745,2671904866,18.14743549,1.693742285,2.856321808,0.048222189,1.470571155
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc2ccccc2c1,1.316849352,15.52018452,0.062476832,2559.014827,2511.859967,2548236300,2595115734,14.35635393,1.115318974,2.917326572,0.047836741,1.67391983
*N=P(*)(OCCCc1ccccc1)OCCCc1ccc(Br)cc1,1.342806354,14.46588218,0.060951329,2899.012933,2664.066821,2920312901,3177369625,14.28112567,1.59943853,3.14791729,0.086674696,1.596395552
*N=P(*)(OCCOCCOC)Oc1ccc(-c2ccccc2)cc1,1.226512329,13.65834781,0.063624072,3072.338464,2920.822054,3079189465,3238905706,13.04986487,1.889027402,3.489741203,0.105378472,1.612672875
*N=P(*)(Oc1ccc(C(C)C)cc1)Oc1cccc(C)c1,1.141230126,14.51787805,0.068686566,3038.292053,2953.597028,2657828853,2733987623,15.26187226,1.186236721,2.687055623,0.0575255,1.581397768
*N=P(*)(OCCOCCOCC)Oc1cccc(C(F)(F)F)c1,1.324406463,13.8319048,0.060657407,2677.424908,2515.032075,2977333756,3169571337,11.98662,1.971386047,3.22271262,0.04171599,1.500442126
*N=P(*)(OCCOCCOC)Oc1cccc(-c2ccccc2)c1,1.232384374,13.42464159,0.062535408,3063.224414,2899.126382,3501573245,3699733848,11.68622349,1.610954635,3.170127459,0.085076218,1.599741487
*N=P(*)(OCCCCCC)OCc1ccc(-c2ccccc2)cc1,1.120540447,13.01471286,0.064469505,3306.976145,3088.045236,2553241338,2734150713,10.13970395,1.339293339,2.79837374,0.09401616,1.568145529
*N=P(*)(OCc1ccc(Br)cc1)OC(Cl)C(F)(F)F,1.660995598,17.89151185,0.056736999,1673.101907,1531.989633,1361279849,1486548823,20.36027967,1.426665801,2.679702038,0.056297759,1.501011738
*N=P(*)(Oc1ccccc1)Oc1ccc(C(C)C)c(C)c1,1.151035228,13.76125055,0.065106832,2912.056786,2837.80088,3109421978,3190780083,11.14111092,1.161177491,2.61355224,0.056968587,1.566005986
*N=P(*)(OCCCCCCC)Oc1cccc(-c2ccccc2)c1,1.103768761,12.85495982,0.063678155,3350.605935,3151.128477,2610440763,2775669750,10.64000593,1.18345697,2.668878163,0.079742497,1.576521866
*N=P(*)(OCCCc1ccccc1)Oc1ccc(C(C)C)cc1,1.124161436,13.57370459,0.065359007,3159.053531,3080.258654,2660966381,2729036553,12.59310374,1.304873275,2.735082255,0.13964379,1.558912756
*N=P(*)(OCCCCCCCC)Oc1ccc(C(C)C)c(C)c1,1.019189186,12.40544998,0.065952405,3636.201322,3385.303338,2203633377,2366959272,8.306042308,1.192829292,2.445481119,0.068869939,1.500883682
*N=P(*)(OCc1ccccc1)Oc1cccc(C(F)(F)F)c1,1.369641619,15.81150037,0.063950626,2321.131521,2252.052696,3108596050,3203984884,16.83164394,1.258855919,2.595044914,0.053306294,1.528459681
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc(C(C)C)cc1,1.232123684,15.64488965,0.067964005,2762.222141,2568.233377,1583924388,1703462130,16.20242546,1.12464894,2.602172548,0.06019617,1.574015123
*N=P(*)(OCC(F)(F)F)Oc1ccc(C(C)C)c(C)c1,1.243355864,13.55552937,0.059352261,2815.678382,2686.599079,2074217773,2173397447,8.991325038,1.481203727,2.706675047,0.078742738,1.491801367
*N=P(*)(Oc1ccccc1)Oc1cccc(-c2ccccc2)c1,1.245053858,14.64243951,0.063662153,2986.538467,2728.054091,2653725066,2904443864,14.39563066,1.144288429,2.876691158,0.066321773,1.652998103
*N=P(*)(OCC(F)(F)C(F)(F)F)Oc1ccc(C)cc1,1.411275325,16.85857095,0.064918281,2271.042673,2182.896115,1925668659,2003381647,18.81306994,1.470185229,2.622719001,0.067758227,1.467151585
